algo,run_name,timesteps,mean_reward,std_reward,learning_rate,gamma,ent_coef,n_steps
a2c,sweep_01,70000,115.43020629882812,5.2710347175598145,0.0007,0.95,0.0,5
a2c,sweep_02,70000,-141.3349609375,9.096549987792969,0.0007,0.99,0.0,20
a2c,sweep_03,70000,-43.24435806274414,9.71829605102539,0.0005,0.99,0.01,20
a2c,sweep_04,70000,-115.8310317993164,1.2856074571609497,0.0005,0.995,0.02,40
a2c,sweep_05,70000,-220.4644775390625,42.174617767333984,0.0003,0.99,0.02,20
a2c,sweep_06,70000,1.4252322912216187,47.49748992919922,0.0003,0.98,0.03,10
a2c,sweep_07,70000,35.20480728149414,44.567787170410156,0.001,0.97,0.0,5
a2c,sweep_08,70000,-215.7967071533203,11.60595417022705,0.001,0.99,0.01,40
a2c,sweep_09,70000,-248.1534423828125,61.6573371887207,0.0002,0.96,0.0,10
a2c,sweep_10,70000,-192.11859130859375,3.0517096519470215,0.0004,0.995,0.015,20
